asin,title,isBestSelling,category_id,category_name,category_type
0007268149,Collins Bird Guide: The Most Complete Guide to the Birds of Britain and Europe,false,178,Pet Bird Supplies,Pet_Supplies
0008288194,The Creativity Code,false,263,PC Games & Accessories,Gaming
0008537909,The Silmarillion:,false,79,Camera & Photo,Others
0021402442,"Carpentry & Building Construction, Student Edition, 2016",false,138,Commercial Door Products,Others
0060219602,Hurray for Hattie Rabbit: Story and pictures (An Early I can read book),false,74,eBook Readers & Accessories,Others
0060501960,Presidents' Day,false,263,PC Games & Accessories,Gaming
0061128392,Biscuit's Pet & Play Easter: A Touch & Feel Book: An Easter And Springtime Book For Kids,false,180,Dog Supplies,Others
0061132187,One Big Damn Puzzler,false,74,eBook Readers & Accessories,Others
0061876879,Born Under a Lucky Moon,false,74,eBook Readers & Accessories,Others
0061953385,Extra Yarn: A Caldecott Honor Award Winner,false,3,Knitting & Crochet Supplies,Crafts_Sewing
0062665782,A Thousand Heartbeats,false,74,eBook Readers & Accessories,Others
0062970704,Strange Planet (Strange Planet Series),false,76,Accessories & Supplies,Others
006304904X,Winning Fixes Everything: How Baseball's Brightest Minds Created Sports' Biggest Mess,false,263,PC Games & Accessories,Gaming
0063227932,Why Has Nobody Told Me This Before?,false,263,PC Games & Accessories,Gaming
0072823275,Analyzing The Curriculum,false,155,Science Education Supplies,Others
0072826843,Evolution of the Earth,false,263,PC Games & Accessories,Gaming
0091912407,Girl with a One-Track Mind: Confessions of the Seductress Next Door,false,74,eBook Readers & Accessories,Others
0099557037,Mist over Pendle,false,74,eBook Readers & Accessories,Others
013369173X,Realidades 2,false,74,eBook Readers & Accessories,Others
0135031745,Technical Communication in the Twenty-First Century (2nd Edition),false,74,eBook Readers & Accessories,Others
0135688302,"Diesel Calfskin Genuine Leather Lychee Pattern Watch Band Strap, Buckle Outdoor Sports Watch Bands Suitable for Men's Diesel Watches",false,113,Men's Watches,Mens_Fashion
0136109802,The Needlepoint Book (The Creative Handcrafts Series),false,8,Needlework Supplies,Crafts_Sewing
