category_type,total_products,bestseller_count,bestseller_ratio,total_reviews,avg_reviews,sum_price,avg_price,avg_stars,X_score,Y_score
Arts_Crafts,29324,103,0.0035,5893099,200.97,815360.6000000007,27.81,4.16,-0.061,-0.02
Automotive,62032,816,0.0132,17689113,285.16,2790233.289999689,44.98,4.18,1.819,0.433
Baby_Kids,179801,700,0.0039,30971778,172.26,5218124.549999065,29.02,3.89,-0.276,-0.284
Crafts_Sewing,42375,126,0.003,2396161,56.55,785455.9799999594,18.54,3.85,-1.426,-1.324
Electronics,77070,224,0.0029,11446478,148.52,11347592.830001175,147.24,3.82,-0.604,0.639
Gaming,82611,411,0.005,29286649,354.51,2803816.5999996304,33.94,3.76,1.493,-1.29
Health_Beauty,17736,166,0.0094,5192395,292.76,336823.58000001224,18.99,4.31,1.446,0.49
Home_Living,56697,1020,0.018,19694174,347.36,2610657.1599997464,46.05,4.36,2.943,1.167
Industrial_Science,30721,467,0.0152,4169646,135.73,768615.4499999924,25.02,3.51,0.71,-2.733
Jewelry_Accessories,54633,115,0.0021,4103199,75.1,1278212.4399998016,23.4,3.98,-1.36,-0.69
Mens_Fashion,141074,503,0.0036,13389877,94.91,8866895.380002799,62.85,4.04,-1.011,1.073
Others,511846,2652,0.0052,99852469,195.08,20196350.950022962,39.46,4.01,0.08,3.19
Party_Gifts,15546,22,0.0014,55012,3.54,217060.80000000418,13.96,4.29,-2.085,0.402
Pet_Supplies,13144,25,0.0019,0,0,295877.97000000067,22.51,3.87,-2.06,-1.346
Sports_Outdoors,24515,898,0.0366,5236880,213.62,738067.2699999588,30.11,4.35,3.905,0.767
Tools_Hardware,18741,179,0.0096,0,0,655432.979999993,34.97,4.36,-1.171,0.779
Toys_Games,44778,71,0.0016,7147804,159.63,1191712.6899998747,26.61,4.18,-0.658,0.148
Travel_Bags,23693,22,0.0009,1286848,54.31,951652.6399999326,40.17,3.82,-1.684,-1.4
