category_type,product_count,correlation_reviews_stars
Party_Gifts,8611,0.20575210180679232
Health_Beauty,6080,0.19023107364038883
Crafts_Sewing,10565,0.1325983584456902
Mens_Fashion,81295,0.12936095607008877
Jewelry_Accessories,37628,0.11806835849274229
Electronics,31069,0.11634627942749465
Gaming,48611,0.112292278586745
Travel_Bags,3267,0.10908692684306742
Sports_Outdoors,2291,0.10286524191823618
Toys_Games,9485,0.1016458314159186
Arts_Crafts,14047,0.09049406384303044
Industrial_Science,26288,0.0879084841159089
Baby_Kids,105814,0.08263142900510428
Others,136034,0.07849894231640284
Automotive,34786,0.049241837180622666
Home_Living,14387,0.041606289395737
