category_type,asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth
Others,B09X7BK27V,"SanDisk 128GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAA-128G-GN6MA",https://m.media-amazon.com/images/I/71etcRZF-JL._AC_UL320_.jpg,https://www.amazon.com/dp/B09X7BK27V,4.8,0,12.99,25.99,76,false,0
Others,B00WJDWGA8,"HP 63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN",https://m.media-amazon.com/images/I/71dknWOvquL._AC_UL320_.jpg,https://www.amazon.com/dp/B00WJDWGA8,4.7,0,45.89,0,76,false,20000
Others,B089DM4KDW,"etguuds 2-Pack 3ft USB C Cable 3A Fast Charge, USB A to Type C Charger Cord Braided Compatible with Samsung Galaxy A10e A20 A50 A51 A71, S20 S10 S9 S8 Plus S10E, Note 20 10 9 8, Moto G7 G8",https://m.media-amazon.com/images/I/61AsLefMRqL._AC_UL320_.jpg,https://www.amazon.com/dp/B089DM4KDW,4.6,0,7.99,0,76,false,0
Others,B07MCYDD62,"HP 962 Cyan, Magenta, Yellow Ink Cartridges (3 Count -pack of 1) | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series | Eligible for Instant Ink | 3YP00AN",https://m.media-amazon.com/images/I/71XSbgnGXcS._AC_UL320_.jpg,https://www.amazon.com/dp/B07MCYDD62,4.7,0,65.89,0,76,false,10000
Others,B09X7FXHVJ,"SanDisk 128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN",https://m.media-amazon.com/images/I/81wwLOgkLgL._AC_UL320_.jpg,https://www.amazon.com/dp/B09X7FXHVJ,4.8,0,22.8,33.49,76,true,0
Others,B071YHCML6,"HP 64XL Black High-yield Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J92AN",https://m.media-amazon.com/images/I/61XaiQ+8ejL._AC_UL320_.jpg,https://www.amazon.com/dp/B071YHCML6,4.7,0,44.45,0,76,false,20000
Others,B00WR23X5I,"HP 63 Black Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U62AN",https://m.media-amazon.com/images/I/71MHmk6IbBL._AC_UL320_.jpg,https://www.amazon.com/dp/B00WR23X5I,4.7,0,0,0,76,false,20000
Others,B0BPCZLFS4,"Anker USB C Charger Cable [2 Pack, 6ft], 310 Type C Charger Cable Fast Charging, Braided USB A to USB C Cable Fast Charging for Samsung Galaxy Note 10 Note 9/S10+ S10, LG V30 (USB 2.0, Black)",https://m.media-amazon.com/images/I/71k0W8zcU2L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BPCZLFS4,4.7,0,10.99,0,76,false,0
Others,B01B6QGJ42,"HP 952XL Black High-yield Ink Cartridge | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | F6U19AN",https://m.media-amazon.com/images/I/61cV9q2PBAL._AC_UL320_.jpg,https://www.amazon.com/dp/B01B6QGJ42,4.7,0,0,0,76,false,10000
Others,B01BYKD628,"HP 902XL Black High-yield Ink Cartridge | Works with HP OfficeJet 6950, 6960 Series, HP OfficeJet Pro 6960, 6970 Series | Eligible for Instant Ink | T6M14AN",https://m.media-amazon.com/images/I/71QsmlwPUTL._AC_UL320_.jpg,https://www.amazon.com/dp/B01BYKD628,4.6,0,45.89,0,76,false,10000
Others,B09C5RG6KV,"Anker USB C Charger, 735 Charger (Nano II 65W), iPad Charger, PPS 3-Port Fast Compact Foldable for MacBook Pro/Air, iPad Pro, Galaxy S23, Dell XPS 13, Note 20/10+, iPhone 15/Pro, Steam Deck, and More",https://m.media-amazon.com/images/I/518CnkU772L._AC_UL320_.jpg,https://www.amazon.com/dp/B09C5RG6KV,4.7,0,39.99,55.99,76,true,0
Others,B07MK5DG9V,"HP 962XL Black High-yield Ink Cartridge | Works with HP OfficeJet 9010 Series, HP OfficeJet Pro 9010, 9020 Series | Eligible for Instant Ink | 3JA03AN",https://m.media-amazon.com/images/I/71YnyARzfPS._AC_UL320_.jpg,https://www.amazon.com/dp/B07MK5DG9V,4.7,0,46.89,0,76,false,10000
Others,B075X7TFY5,"Brother Genuine Standard Yield Toner Cartridge, TN730, Replacement Black Toner, Page Yield Up To 1,200 Pages, Amazon Dash Replenishment Cartridge",https://m.media-amazon.com/images/I/7197bPYLO4L._AC_UL320_.jpg,https://www.amazon.com/dp/B075X7TFY5,4.7,0,45.48,0,76,true,10000
Others,B075X6C5ZW,Brother Genuine Cartridge TN760 High Yield Black Toner,https://m.media-amazon.com/images/I/71+JaPq0eaL._AC_UL320_.jpg,https://www.amazon.com/dp/B075X6C5ZW,4.7,0,0,0,76,false,10000
Others,B01BYKV7I8,"HP 65 Black/Tri-color Ink Cartridges (2-pack) | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | T0A36AN",https://m.media-amazon.com/images/I/71HeJCv+2qS._AC_UL320_.jpg,https://www.amazon.com/dp/B01BYKV7I8,4.7,0,0,0,76,false,20000
Others,B07QZ4ZKYG,"HP 58A Black Toner Cartridge | Works with HP LaserJet Enterprise M406 Series, HP LaserJet Enterprise MFP M430 Series, HP LaserJet Pro M404 Series, HP LaserJet Pro MFP M428 Series | CF258A",https://m.media-amazon.com/images/I/71wBfO0vfOL._AC_UL320_.jpg,https://www.amazon.com/dp/B07QZ4ZKYG,4.7,0,0,0,76,false,8000
Others,B06ZY9LP74,"HP 64 Black/Tri-color Ink Cartridges (2-pack) | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | X4D92AN",https://m.media-amazon.com/images/I/719v4HTY9OL._AC_UL320_.jpg,https://www.amazon.com/dp/B06ZY9LP74,4.6,0,41.89,0,76,false,10000
Others,B01BYKUI9C,"HP 65 Black Ink Cartridge | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | N9K02AN",https://m.media-amazon.com/images/I/61GAiSy74WL._AC_UL320_.jpg,https://www.amazon.com/dp/B01BYKUI9C,4.7,0,0,0,76,false,20000
Others,B0B283QP2N,"iPhone Charger fast charging [APPLE MFi Certified] 2 pack Apple Type C Wall Charger Block with 2 pack [6FT&10FT] Long USB C to lightning cable for iPhone 14/13/12/12 Pro Max/11/Xs Max/XR/X,AirPods Pro",https://m.media-amazon.com/images/I/61N-uGtPpAL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B283QP2N,4.5,0,12.5,20.99,76,false,0
Others,B0BKPZB5KG,"Ximytec iPhone Charger Fast Charging [MFi Certified], 2Pack 20W PD USB C Wall Charger Block with 6FT Type-C to Lightning Cables Compatible with iPhone 14/13/ 12/11/ XS/XR/X/ 8 /iPad,White",https://m.media-amazon.com/images/I/51szWBozLKL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BKPZB5KG,4.4,0,9.89,19.99,76,false,0
Others,B0722C491T,"HP 64XL Tri-color High-yield Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J91AN",https://m.media-amazon.com/images/I/711IFEnU70L._AC_UL320_.jpg,https://www.amazon.com/dp/B0722C491T,4.7,0,49.89,0,76,false,10000
